model,triplet_id,domain,concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),4,0.02269584,0.00047302246,0.0039155483,0.02145791
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),5,0.03596884,0.0009266734,0.007021308,0.034033
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),6,0.056007862,0.0015375614,0.011076152,0.054546535
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),7,0.082955,0.002258718,0.014937282,0.08931285
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),8,0.10723084,0.0031266809,0.022475779,0.1202845
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),9,0.12416887,0.0038087368,0.02512443,0.14274424
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),10,0.15231276,0.0059450865,0.033391774,0.1870879
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),11,0.17738086,0.008862376,0.03953147,0.2122261
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),12,0.19951403,0.010200083,0.050341606,0.27109778
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),13,0.22370505,0.012532711,0.059093595,0.33499545
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),14,0.24104232,0.013961732,0.065609634,0.36237335
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),15,0.26168323,0.016976237,0.072790205,0.3641706
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),16,0.3251196,0.020385921,0.11318457,0.4109276
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),17,0.35613906,0.02699864,0.1409874,0.42910802
TinyLlama-1.1B,11,Social Space,Meiwaku (迷惑),18,0.37422383,0.031338155,0.20546049,0.4378038
